sample,cnf-01-run-1,cnf-01-run-2,cnf-01-run-3,cnf-02-run-1,cnf-02-run-2,cnf-02-run-3,cnf-03-run-1,cnf-03-run-2,cnf-03-run-3,cnf-04-run-1,cnf-04-run-2,cnf-04-run-3,cnf-05-run-1,cnf-05-run-2,cnf-05-run-3,cnf-06-run-1,cnf-06-run-2,cnf-06-run-3,cnf-07-run-1,cnf-07-run-2,cnf-07-run-3,cnf-08-run-1,cnf-08-run-2,cnf-08-run-3,cnf-09-run-1,cnf-09-run-2,cnf-09-run-3
HG00143,False,False,False,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
HG00145,True,True,False,False,True,True,True,False,True,True,False,True,True,False,False,False,True,True,False,True,False,False,False,False,True,True,True
HG00146,False,True,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,False,True,False,True,False,False
HG00148,False,False,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,False,True,True,False,True,True,False
HG00149,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,True,False,False,True,False,False,True,True,True,True,False,True
HG00150,True,False,True,False,True,False,False,False,True,True,True,False,False,True,True,True,False,False,False,False,True,True,False,True,True,True,True
HG00151,False,False,True,True,False,True,False,False,False,True,True,True,False,True,False,False,True,True,False,False,True,True,True,False,False,True,False
HG00154,False,False,False,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True
HG00155,False,False,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,False,False,True,True,False,False,True,True,True,True
HG00157,True,False,True,True,True,True,True,False,True,True,False,False,True,True,True,False,True,False,False,False,False,True,True,True,False,True,True
HG00158,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,True,True,True,False,True,False
HG00159,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,False,False,True,True,False,False
HG00160,False,True,False,True,True,True,True,True,True,False,False,True,False,False,True,True,True,True,False,False,False,False,True,True,False,True,True
HG00171,False,False,False,True,True,True,False,False,False,False,True,True,True,True,False,True,False,False,False,False,True,False,True,False,False,True,False
HG00173,False,False,True,True,False,True,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,True,True
HG00174,True,False,True,False,False,True,False,True,True,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True
HG00176,True,True,False,True,True,True,False,False,True,True,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True
HG00177,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,False,False,True,False,False,True,True,True,True,True,True,True
HG00178,True,False,True,True,True,True,False,True,False,False,False,False,False,False,True,True,False,True,True,False,True,True,True,False,True,False,True
HG00179,True,True,False,True,False,False,False,True,True,False,True,True,True,False,True,False,False,True,True,False,True,True,True,True,True,False,True
HG00180,True,False,True,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,True,True,True
HG00181,True,True,False,True,True,True,False,False,True,False,True,True,True,True,False,False,False,False,False,True,True,False,False,False,True,False,False
HG00182,False,True,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True
HG00183,False,False,False,False,False,True,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,True,True,True,True,False,True
HG00185,False,True,False,False,True,True,False,False,True,False,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,True,True
HG00186,False,True,True,True,False,True,False,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,False,True,True,True,True
HG00187,False,False,True,True,True,True,False,True,True,False,True,True,True,True,False,True,False,True,False,True,False,True,True,True,True,True,False
HG00188,True,False,True,False,True,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False
HG00189,True,True,True,True,True,True,False,False,True,False,False,True,False,False,True,True,True,False,False,True,True,False,False,True,False,False,True
HG00190,False,False,False,False,True,True,False,False,False,False,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,True
HG00231,False,True,False,False,True,True,False,True,True,False,False,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False
